User Link,Reputation
"1950","40077"
"220147","40030"
"714","40025"
"57191","40015"
"383609","39947"
"298225","39930"
"141555","39925"
"631619","39910"
"650492","39905"
"258523","39892"
"546661","39842"
"251986","39820"
"6899","39814"
"905093","39802"
"472375","39778"
"58803","39747"
"1175","39744"
"3737","39739"
"76559","39720"
"2314073","39709"
"241590","39682"
"210102","39668"
"87399","39654"
"578895","39644"
"477037","39635"
"131140","39621"
"12716","39615"
"166712","39614"
"290394","39602"
"271959","39588"
"324105","39531"
"3063910","39523"
"92313","39474"
"359307","39467"
"13051","39428"
"226897","39417"
"785541","39364"
"2635","39347"
"26160","39341"
"722762","39290"
"42585","39280"
"60777","39260"
"16511","39256"
"1084","39231"
"132047","39179"
"301607","39178"
"519216","39171"
"82511","39156"
"18061","39140"
"154112","39128"
"200936","39097"
"1461008","39081"
"145346","39016"
"1257694","39011"
"21441","38992"
"768469","38963"
"68015","38958"
"301857","38953"
"12943","38885"
"106435","38868"
"941272","38864"
"1322972","38852"
"249281","38849"
"493","38848"
"179125","38829"
"177800","38782"
"229602","38741"
"49376","38731"
"427309","38730"
"6010","38723"
"11649","38712"
"45773","38706"
"1741542","38690"
"921204","38679"
"892493","38670"
"109825","38662"
"82959","38627"
"4337","38568"
"86611","38557"
"155137","38551"
"1066240","38545"
"267269","38540"
"874024","38499"
"71059","38485"
"445543","38405"
"497756","38403"
"221700","38396"
"785065","38391"
"2998","38389"
"1903366","38370"
"165297","38356"
"745903","38336"
"1100552","38284"
"80425","38270"
"284795","38253"
"1048425","38248"
"107090","38235"
"795990","38228"
"129404","38211"
"966550","38207"
"198536","38193"
"299509","38175"
"116614","38103"
"10673","38026"
"55943","38025"
"133910","38022"
"1000343","38009"
"73297","37979"
"113794","37963"
"21574","37928"
"413127","37920"
"65868","37915"
"644898","37904"
"43681","37899"
"357693","37898"
"168986","37897"
"2558060","37896"
"6946","37871"
"1498580","37866"
"791998","37856"
"183528","37848"
"727208","37847"
"205185","37847"
"1230836","37777"
"330280","37746"
"126229","37680"
"113195","37676"
"184046","37663"
"1038015","37650"
"97385","37633"
"326480","37622"
"552759","37563"
"167735","37555"
"392044","37552"
"20984","37539"
"296328","37537"
"1169798","37504"
"1734130","37500"
"694576","37486"
"250728","37469"
"171206","37465"
"3207","37458"
"242930","37449"
"1587046","37436"
"8123","37431"
"296387","37416"
"168868","37405"
"476408","37364"
"40468","37314"
"67132","37298"
"2073257","37260"
"271475","37259"
"544050","37252"
"491980","37244"
"3001736","37227"
"492901","37225"
"119477","37198"
"52443","37191"
"1836","37190"
"1453411","37188"
"397952","37163"
"885318","37130"
"243614","37112"
"50122","37097"
"497043","37097"
"190201","37094"
"298607","37087"
"72791","37080"
"220643","37072"
"1143732","37070"
"2861476","37054"
"112671","37038"
"68063","37034"
"983912","36990"
"571563","36978"
"22224","36969"
"1899640","36955"
"115845","36945"
"9611","36934"
"641955","36924"
"215752","36918"
"216164","36908"
"54017","36906"
"2867928","36898"
"63034","36886"
"227267","36881"
"160173","36868"
"1857266","36861"
"53850","36857"
"508666","36827"
"21062","36780"
"64949","36774"
"842","36766"
"180538","36758"
"23903","36722"
"66549","36694"
"1426065","36673"
"200266","36653"
"732945","36610"
"1003142","36593"
"30506","36581"
"125844","36578"
"90511","36569"
"1059101","36565"
"13744","36542"
"402253","36497"
"198633","36492"
"131874","36455"
"17744","36447"
"183406","36416"
"1073631","36415"
"133840","36411"
"1200","36400"
"231716","36348"
"1725764","36345"
"314020","36335"
"143378","36326"
"2985303","36315"
"404335","36307"
"669586","36270"
"97010","36244"
"165009","36211"
"93966","36202"
"52598","36186"
"171461","36185"
"3559349","36176"
"1811992","36156"
"1705598","36136"
"149482","36131"
"5023","36125"
"1737","36121"
"11296","36049"
"105672","36016"
"99834","36010"
"1374437","35992"
"86473","35990"
"6491","35982"
"625403","35979"
"584518","35966"
"947836","35962"
"928711","35949"
"1438733","35947"
"9815","35935"
"265530","35933"
"17","35925"
"3055","35922"
"243943","35908"
"41747","35905"
"16587","35878"
"219159","35874"
"11926","35865"
"1623007","35827"
"363751","35790"
"203657","35756"
"819272","35752"
"100478","35746"
"1527","35742"
"563088","35733"
"453277","35726"
"6144","35713"
"34537","35713"
"432745","35702"
"7671","35693"
"775806","35684"
"272109","35676"
"232593","35670"
"106205","35656"
"5597","35646"
"598","35644"
"306651","35641"
"77","35639"
"28835","35638"
"159145","35634"
"3002","35623"
"592746","35598"
"15721","35582"
"1039608","35578"
"3542","35573"
"1","35572"
"33225","35567"
